# duration,x^0,x^1,x^2,x^3,x^4,x^5,x^6,x^7,y^0,y^1,y^2,y^3,y^4,y^5,y^6,y^7,z^0,z^1,z^2,z^3,z^4,z^5,z^6,z^7,yaw^0,yaw^1,yaw^2,yaw^3,yaw^4,yaw^5,yaw^6,yaw^7
4.000000,0.050455,0.000000,0.000000,0.308539,-0.274403,0.098190,-0.016148,0.001010,-0.000000,0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000,0.206986,0.000000,0.000000,0.035723,-0.009284,-0.000958,0.000632,-0.000063,-0.000000,0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000
4.000000,0.508773,0.003052,-0.079222,0.012210,0.025985,-0.018510,0.004444,-0.000362,0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000,0.698099,0.199277,0.004727,-0.018092,0.010586,-0.003923,0.000706,-0.000049,0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000
4.000000,0.001551,-0.165225,-0.007194,-0.090022,0.105244,-0.044302,0.008274,-0.000576,-0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000,1.200874,0.000217,-0.042149,-0.008826,0.016375,-0.008235,0.001746,-0.000133,-0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000
4.000000,-0.503568,0.015562,0.050613,-0.063933,0.059727,-0.024185,0.004468,-0.000311,0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000,0.698288,-0.188572,0.003237,-0.019114,0.022584,-0.008892,0.001591,-0.000108,0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000
4.000000,0.000071,0.207632,-0.000440,-0.048939,0.049501,-0.021564,0.004195,-0.000303,0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000,0.198580,0.003214,0.042132,-0.009882,0.006702,-0.002404,0.000389,-0.000024,0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000
4.000000,0.501314,0.012435,-0.043552,-0.052671,0.065164,-0.029176,0.005751,-0.000418,-0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000,0.700960,0.195365,-0.002281,-0.007894,0.006478,-0.003425,0.000740,-0.000056,-0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000
4.000000,-0.001426,-0.175031,0.004917,-0.061334,0.062853,-0.024039,0.004130,-0.000265,0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000,1.199657,0.002869,-0.038115,-0.010452,0.012346,-0.005387,0.001097,-0.000083,0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000
4.000000,-0.505607,0.006246,0.070330,0.006755,-0.064785,0.044013,-0.010916,0.000922,0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,0.000000,-0.000000,0.702009,-0.192180,-0.008495,-0.018478,0.038035,-0.019324,0.004118,-0.000319,0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,0.000000,-0.000000
