# duration,x^0,x^1,x^2,x^3,x^4,x^5,x^6,x^7,y^0,y^1,y^2,y^3,y^4,y^5,y^6,y^7,z^0,z^1,z^2,z^3,z^4,z^5,z^6,z^7,yaw^0,yaw^1,yaw^2,yaw^3,yaw^4,yaw^5,yaw^6,yaw^7
4.000000,0.496068,0.000000,0.000000,-0.051434,0.028371,-0.007636,0.001058,-0.000060,0.050455,0.000000,0.000000,0.308539,-0.274403,0.098190,-0.016148,0.001010,0.699369,0.000000,-0.000000,0.000905,-0.000000,-0.000427,0.000157,-0.000016,-0.000000,0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000
4.000000,0.001370,-0.195294,-0.004949,-0.001385,0.012441,-0.006397,0.001331,-0.000100,0.508773,0.003052,-0.079222,0.012210,0.025985,-0.018510,0.004444,-0.000362,0.700808,0.003036,-0.002961,-0.009380,0.012413,-0.005583,0.001088,-0.000078,0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000
4.000000,-0.500734,0.004317,0.038161,-0.018669,0.020856,-0.009210,0.001750,-0.000123,0.001551,-0.165225,-0.007194,-0.090022,0.105244,-0.044302,0.008274,-0.000576,0.700468,0.001988,-0.001409,-0.012333,0.015922,-0.007288,0.001440,-0.000104,-0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000
4.000000,-0.001394,0.198740,0.004096,-0.017667,0.011333,-0.004526,0.000853,-0.000060,-0.503568,0.015562,0.050613,-0.063933,0.059727,-0.024185,0.004468,-0.000311,0.699517,0.003887,0.002245,-0.014675,0.014330,-0.005848,0.001085,-0.000076,0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000
4.000000,0.500168,0.001660,-0.039273,-0.009687,0.012382,-0.005404,0.001080,-0.000080,0.000071,0.207632,-0.000440,-0.048939,0.049501,-0.021564,0.004195,-0.000303,0.699361,0.002330,0.002098,-0.008738,0.007513,-0.002902,0.000534,-0.000038,0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000
4.000000,0.002513,-0.191727,-0.004897,-0.013206,0.024519,-0.011189,0.002176,-0.000155,0.501314,0.012435,-0.043552,-0.052671,0.065164,-0.029176,0.005751,-0.000418,0.700825,0.002315,-0.003548,-0.009064,0.013477,-0.006378,0.001278,-0.000093,-0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000
4.000000,-0.501227,0.004724,0.044122,-0.018109,0.014296,-0.005466,0.000958,-0.000064,-0.001426,-0.175031,0.004917,-0.061334,0.062853,-0.024039,0.004130,-0.000265,0.699358,0.003903,0.002158,-0.013442,0.011899,-0.004441,0.000769,-0.000051,0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000
4.000000,0.000183,0.197957,-0.000449,-0.012894,0.007567,-0.002238,0.000199,0.000004,-0.505607,0.006246,0.070330,0.006755,-0.064785,0.044013,-0.010916,0.000922,0.701364,-0.001108,-0.003762,-0.006670,0.013379,-0.006968,0.001465,-0.000110,0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,0.000000,-0.000000
