# duration,x^0,x^1,x^2,x^3,x^4,x^5,x^6,x^7,y^0,y^1,y^2,y^3,y^4,y^5,y^6,y^7,z^0,z^1,z^2,z^3,z^4,z^5,z^6,z^7,yaw^0,yaw^1,yaw^2,yaw^3,yaw^4,yaw^5,yaw^6,yaw^7
4.000000,0.496068,0.000000,0.000000,-0.051434,0.028371,-0.007636,0.001058,-0.000060,-0.000000,0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000,0.750512,0.000000,0.000000,0.307625,-0.272668,0.097139,-0.015894,0.000989,-0.000000,0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000
4.000000,0.001370,-0.195294,-0.004949,-0.001385,0.012441,-0.006397,0.001331,-0.000100,0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000,1.208938,0.006954,-0.079376,0.005132,0.031617,-0.020209,0.004661,-0.000371,0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000
4.000000,-0.500734,0.004317,0.038161,-0.018669,0.020856,-0.009210,0.001750,-0.000123,-0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000,0.701251,-0.167063,-0.004518,-0.083918,0.096861,-0.040638,0.007592,-0.000529,-0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000
4.000000,-0.001394,0.198740,0.004096,-0.017667,0.011333,-0.004526,0.000853,-0.000060,0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000,0.197132,0.016313,0.048970,-0.061423,0.057425,-0.023192,0.004273,-0.000297,0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000
4.000000,0.500168,0.001660,-0.039273,-0.009687,0.012382,-0.005404,0.001080,-0.000080,0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000,0.700119,0.207560,-0.000026,-0.046373,0.045870,-0.019862,0.003857,-0.000279,0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000
4.000000,0.002513,-0.191727,-0.004897,-0.013206,0.024519,-0.011189,0.002176,-0.000155,-0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000,1.200970,0.012083,-0.043493,-0.049164,0.061106,-0.027384,0.005400,-0.000392,-0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000
4.000000,-0.501227,0.004724,0.044122,-0.018109,0.014296,-0.005466,0.000958,-0.000064,0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000,0.698180,-0.177135,0.005166,-0.056579,0.058601,-0.022534,0.003885,-0.000250,0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000
4.000000,0.000183,0.197957,-0.000449,-0.012894,0.007567,-0.002238,0.000199,0.000004,0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,0.000000,-0.000000,0.193753,0.005383,0.070327,0.007418,-0.064621,0.043699,-0.010825,0.000914,0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,0.000000,-0.000000
