# duration,x^0,x^1,x^2,x^3,x^4,x^5,x^6,x^7,y^0,y^1,y^2,y^3,y^4,y^5,y^6,y^7,z^0,z^1,z^2,z^3,z^4,z^5,z^6,z^7,yaw^0,yaw^1,yaw^2,yaw^3,yaw^4,yaw^5,yaw^6,yaw^7
4.000000,-0.496073,0.000000,0.000000,0.039451,-0.011223,-0.000981,0.000775,-0.000081,-0.038960,0.000000,0.000000,-0.395841,0.380942,-0.146068,0.025522,-0.001686,0.699369,0.000000,-0.000000,0.000905,-0.000000,-0.000427,0.000157,-0.000016,-0.000000,0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000
4.000000,-0.001610,0.204582,0.003182,-0.030318,0.023878,-0.009428,0.001728,-0.000120,-0.510011,0.020645,0.085922,-0.109963,0.078901,-0.026805,0.004364,-0.000277,0.700808,0.003036,-0.002961,-0.009380,0.012413,-0.005583,0.001088,-0.000078,0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000
4.000000,0.501177,0.002691,-0.041759,-0.017683,0.024765,-0.011489,0.002330,-0.000173,0.001728,0.196558,-0.007520,-0.030182,0.042482,-0.021931,0.004705,-0.000362,0.700468,0.001988,-0.001409,-0.012333,0.015922,-0.007288,0.001440,-0.000104,-0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000
4.000000,-0.000943,-0.186783,0.000403,-0.026278,0.032500,-0.013299,0.002426,-0.000166,0.498934,0.027051,-0.038918,-0.078195,0.081391,-0.033041,0.006075,-0.000419,0.699517,0.003887,0.002245,-0.014675,0.014330,-0.005848,0.001085,-0.000076,0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000
4.000000,-0.501935,0.002678,0.043317,-0.014759,0.013087,-0.005597,0.001068,-0.000076,-0.001165,-0.186145,0.004930,-0.042124,0.049643,-0.021241,0.004075,-0.000292,0.699361,0.002330,0.002098,-0.008738,0.007513,-0.002902,0.000534,-0.000038,0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000
4.000000,-0.000178,0.199454,-0.000390,-0.018030,0.015108,-0.006658,0.001315,-0.000096,-0.499557,0.012933,0.037299,-0.047783,0.052228,-0.022592,0.004338,-0.000311,0.700825,0.002315,-0.003548,-0.009064,0.013477,-0.006378,0.001278,-0.000093,-0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000
4.000000,0.501184,0.004201,-0.041326,-0.018070,0.023721,-0.010861,0.002225,-0.000169,0.000959,0.207903,-0.009313,-0.060024,0.079705,-0.039935,0.008561,-0.000666,0.699358,0.003903,0.002158,-0.013442,0.011899,-0.004441,0.000769,-0.000051,0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000
4.000000,0.003774,-0.184921,-0.012192,-0.038437,0.060600,-0.028664,0.005829,-0.000436,0.509349,0.047371,-0.080291,-0.182067,0.257249,-0.124546,0.025904,-0.001962,0.701364,-0.001108,-0.003762,-0.006670,0.013379,-0.006968,0.001465,-0.000110,0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,0.000000,-0.000000
